City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,vostok,46.4856,135.8833,-34.73,98,41,2.07,RU,1674943378
84,vila franca do campo,37.7167,-25.4333,12.23,80,42,3.13,PT,1674943379
85,port moresby,-9.4431,147.1797,25.89,87,78,2.71,PG,1674943379
86,torbay,47.6666,-52.7314,-1.52,79,50,0.89,CA,1674943379
87,zhigansk,66.7697,123.3711,-41.82,95,100,3.98,RU,1674943380
88,vuktyl,63.8567,57.3094,-8.24,95,100,4.16,RU,1674943380
89,san patricio,28.017,-97.5169,21.93,73,100,8.53,US,1674943381
90,cape canaveral,28.4058,-80.6048,21.68,71,75,4.63,US,1674943381
91,wajir,1.7471,40.0573,26.07,36,0,5.59,KE,1674943383
92,georgetown,5.4112,100.3354,25.96,73,20,0.0,MY,1674943225
93,iqaluit,63.7506,-68.5145,-40.53,94,81,1.22,CA,1674943385
94,flinders,-34.5833,150.8552,27.81,87,81,3.13,AU,1674943388
95,sao geraldo do araguaia,-6.4006,-48.555,23.53,94,96,1.41,BR,1674943389
96,bethel,41.3712,-73.414,9.16,46,0,1.54,US,1674943389
97,saint-philippe,-21.3585,55.7679,25.77,90,99,1.64,RE,1674943392
98,ixtapa,20.7,-105.2,22.9,83,100,0.0,MX,1674943393
99,vila velha,-20.3297,-40.2925,26.97,90,40,5.66,BR,1674943395
100,raudeberg,61.9875,5.1352,5.37,7,100,9.68,NO,1674943399
101,birjand,32.8663,59.2211,-2.03,83,25,0.68,IR,1674943402
102,nioro,13.35,-15.75,27.94,13,47,4.87,GM,1674943403
103,tasiilaq,65.6145,-37.6368,-4.91,92,100,4.64,GL,1674943420
104,tashara,55.5195,83.5094,-11.2,91,100,6.69,RU,1674943420
105,guerrero negro,27.9769,-114.0611,18.82,34,81,3.21,MX,1674943423
106,avarua,-21.2078,-159.775,29.03,74,20,5.14,CK,1674943423
107,tuatapere,-46.1333,167.6833,19.7,51,7,1.74,NZ,1674943424
108,sawtell,-30.3833,153.1,26.21,73,75,6.17,AU,1674943424
109,hasaki,35.7333,140.8333,-4.78,51,97,5.06,JP,1674943425
110,salaya,22.3167,69.6,19.09,47,0,3.99,IN,1674943425
111,tottori,35.5,134.2333,-0.96,86,75,2.06,JP,1674943203
112,lanxi,29.2195,119.477,-0.33,57,0,0.55,CN,1674943425
113,tutoia,-2.7619,-42.2744,26.14,83,57,3.82,BR,1674943426
114,sorland,67.667,12.6934,2.92,75,81,10.51,NO,1674943426
115,klaksvik,62.2266,-6.589,8.51,91,100,15.02,FO,1674943426
116,rudbar,30.15,62.6,7.14,78,100,1.23,AF,1674943427
117,cape town,-33.9258,18.4232,18.4,62,0,7.15,ZA,1674943207
118,fortuna,40.5982,-124.1573,10.92,78,100,5.14,US,1674943427
119,puerto baquerizo moreno,-0.9,-89.6,24.55,94,100,3.09,EC,1674943427
120,general roca,-39.0333,-67.5833,37.57,12,0,5.96,AR,1674943427
121,aksarayskiy,46.7924,48.0119,-1.63,71,70,3.93,RU,1674943428
122,estevan,49.1334,-102.9842,-17.81,92,50,4.99,CA,1674943428
123,victoria,22.2855,114.1577,11.25,32,6,5.36,HK,1674943300
124,rosetta,31.4044,30.4164,15.51,71,16,2.95,EG,1674943429
125,longyearbyen,78.2186,15.6401,-4.09,74,40,8.75,SJ,1674943429
126,praia da vitoria,38.7333,-27.0667,13.2,92,79,6.43,PT,1674943429
127,gorontalo,0.5412,123.0595,23.35,95,88,1.49,ID,1674943430
128,avila,40.5833,-5.0,-0.75,90,84,2.63,ES,1674943430
129,ornskoldsvik,63.2909,18.7153,0.53,74,45,8.75,SE,1674943430
130,kodiak,57.79,-152.4072,1.73,100,100,0.0,US,1674943431
131,luderitz,-26.6481,15.1594,19.15,73,0,9.75,NA,1674943431
132,hovd,48.0056,91.6419,-18.39,79,4,1.0,MN,1674943431
133,kahului,20.8947,-156.47,23.01,78,100,6.17,US,1674943142
134,namatanai,-3.6667,152.4333,27.8,75,84,1.84,PG,1674943432
135,ciudad bolivar,8.1222,-63.5497,29.49,44,26,6.08,VE,1674943432
136,mbour,14.422,-16.9638,21.47,47,61,7.0,SN,1674943432
137,zelenoborsk,61.4669,64.0333,-16.07,94,50,2.76,RU,1674943433
138,ongole,15.5,80.05,21.1,83,0,0.63,IN,1674943433
139,sovetskiy,61.3614,63.5842,-15.48,96,43,2.68,RU,1674943433
140,zyryanka,65.75,150.85,-30.85,99,100,1.07,RU,1674943434
141,hauterive,46.0901,3.4459,2.42,94,75,2.64,FR,1674943434
142,quesnel,52.9999,-122.5029,-9.68,68,6,5.11,CA,1674943244
143,napa,38.4832,-122.3344,16.42,53,3,1.9,US,1674943434
144,puerto escondido,15.85,-97.0667,28.46,61,0,2.57,MX,1674943396
145,port hardy,50.6996,-127.4199,6.31,59,20,4.28,CA,1674943270
146,puerto ayora,-0.7393,-90.3518,27.98,92,87,2.24,EC,1674943435
147,rio gallegos,-51.6226,-69.2181,21.89,31,14,2.43,AR,1674943337
148,atuona,-9.8,-139.0333,26.13,73,36,9.1,PF,1674943435
149,antofagasta,-23.65,-70.4,21.6,78,93,3.09,CL,1674943389
150,najran,17.4924,44.1277,12.67,72,51,1.75,SA,1674943436
151,oum hadjer,13.2954,19.6966,27.84,11,97,4.05,TD,1674943436
152,teguldet,57.3064,88.1667,-8.14,92,100,5.55,RU,1674943436
153,sembe,1.6481,14.5806,25.01,61,53,1.93,CG,1674943437
154,marawi,7.9986,124.2928,20.32,98,93,1.21,PH,1674943437
155,vao,-22.6667,167.4833,24.94,66,100,3.67,NC,1674943437
156,taksimo,56.3444,114.8794,-19.51,93,100,1.22,RU,1674943438
157,katsuura,35.1333,140.3,3.1,55,80,5.0,JP,1674943438
158,ocampo,21.65,-101.5,20.64,17,70,6.77,MX,1674943438
159,te anau,-45.4167,167.7167,20.21,39,4,0.46,NZ,1674943439
160,bulgan,48.8125,103.5347,-16.03,82,11,2.0,MN,1674943439
